"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EHD3",-2.60722627318436,11.8498593047486,-27.2882290047964,1.07165880767691e-89,1.35941059816377e-87,194.040146436117
"COLGALT1",1.43338954329609,11.806862648743,27.2725160215415,1.23273252381909e-89,1.55272210711466e-87,193.900419349978
"SIM2",-3.05896516368715,8.53122191759777,-27.2636948025346,1.33356463887159e-89,1.66798161754246e-87,193.821964581044
"FAM3D",-4.43401255698324,12.1825534125698,-27.2551831191036,1.43868196158428e-89,1.78696288645114e-87,193.746254314717
"IL36A",-4.29634040893854,12.9639961893855,-27.1730474283473,2.99306346434893e-89,3.6919953878169e-87,193.01524186832
"LPCAT1",1.9360071396648,11.6865072932961,27.1466992516018,3.78656880665156e-89,4.63880614217601e-87,192.780578041143
"FXYD1",-2.55105654134078,10.5088913634078,-27.1297166040103,4.40647798852012e-89,5.36151464644019e-87,192.629284074082
"STIL",1.78850235726257,10.4576635618715,27.102847933935,5.6014038554484e-89,6.76937225395609e-87,192.389850911405
"CRNN",-3.61581101564246,15.4485843402235,-27.0814262319967,6.78269968363349e-89,8.11971273763001e-87,192.198898040278
"LRRK2",-2.24969811787709,8.64010000530726,-27.0809839413304,6.80955445960249e-89,8.11971273763001e-87,192.194954914351
"CHP1",-1.34747676675978,13.8618978331006,-27.0342251570311,1.03418768265946e-88,1.22499873457265e-86,191.777963746951
"MAPK3",-1.36476675558659,11.7324405705307,-27.0308802608761,1.06557918118656e-88,1.25387823912518e-86,191.748124700015
"GCKR",-3.23638832625698,6.0314048603352,-27.0116357273082,1.2656458369743e-88,1.47956480000799e-86,191.576423973213
"ABR",-1.12938143435754,13.7965260928771,-27.0095371510643,1.28962089259656e-88,1.49780255097286e-86,191.557697824999
"FNDC4",-2.77504967877096,12.1088610656425,-26.9973442633993,1.43819467097961e-88,1.6595838635575e-86,191.448887594149
"IL34",-2.9284995575419,10.3581695312849,-26.9199406384165,2.87483829930282e-88,3.2961126808545e-86,190.75773908638
"UPK1A",-3.2396176150838,11.2431976502793,-26.9179125151753,2.92751271199996e-88,3.33512690234595e-86,190.739620559469
"BOK",-2.52263197486034,13.5847789343575,-26.8953245128915,3.58372603069129e-88,4.05686859398382e-86,190.537796034808
"TMPRSS11B",-4.42284053351955,13.271529853352,-26.8898970618668,3.76221642031092e-88,4.2321385467724e-86,190.489293003499
"MXD1",-2.18594618026071,14.0144064471136,-26.8763935419467,4.24589475143506e-88,4.74637959526047e-86,190.368602847777
"SPINK5",-3.23529959348231,12.8420577509311,-26.8241407188071,6.78115903689738e-88,7.53340438099047e-86,189.901390190801
"H2BC17",1.34828198184357,15.3078476864525,26.8188034751933,7.113454662556e-88,7.85378087002942e-86,189.853650538515
"HTR3B",-2.83892195195531,7.28004378100559,-26.8141984758155,7.4132366575626e-88,8.13454913234139e-86,189.812457963784
"RHCG",-3.08352123743017,15.2912449511173,-26.7786514407714,1.01959438144526e-87,1.11197957966645e-85,189.49440295501
"MPP7",-2.35729346815642,11.5801563064246,-26.7391438833439,1.45325291843196e-87,1.57532616358024e-85,189.140745053852
"DUSP5",-2.66920659217877,12.9114609301676,-26.7015511404214,2.03641115876684e-87,2.19417168588577e-85,188.804065610825
"HMGA2",1.82102554320298,9.13842771070764,26.6575710368612,3.02254202920127e-87,3.23719681043676e-85,188.409980692941
"EDN3",-3.93197035670391,9.57682661382682,-26.6562200602936,3.05944154190499e-87,3.25721258443528e-85,188.397871813326
"HOPX",-3.02473332022346,13.5684824964246,-26.6477911971599,3.30006859653892e-87,3.49260514305888e-85,188.322318839473
"MMP3",5.56924652178771,7.59547582290503,26.6051630098932,4.84024170209831e-87,5.09250371080767e-85,187.940095516093
"VSIG10L",-2.92460168752328,12.5920934528864,-26.5961335946641,5.24943961666684e-87,5.49072964816977e-85,187.859107803771
"EPS8L1",-3.07741934767225,12.1523689030726,-26.586968910754,5.70021013713025e-87,5.92755572748324e-85,187.776897556105
"AFDN",-1.48561939776536,12.9491094106145,-26.5685264023076,6.7282270545346e-87,6.95613116169976e-85,187.611433872849
"RERGL",-4.39285649106145,8.43922558184357,-26.5188710873073,1.05163175452999e-86,1.08100491732893e-84,187.165745572017
"ACADM",-1.3856646480447,13.6534040418994,-26.4866188919198,1.40575675983848e-86,1.43676373751263e-84,186.876115172986
"LRRFIP2",-1.35777133240223,13.0355448645251,-26.4618074120985,1.7575637620956e-86,1.78612417322965e-84,186.653225474619
"ATP6V1C1",1.21919678212291,12.7808906955307,26.444366527839,2.05643095497051e-86,2.07804090737868e-84,186.4965075995
"PLOD1",1.67326658519553,11.7115927018156,26.3931731964762,3.26130049358531e-86,3.27705733866668e-84,186.036308117926
"HSP90AA1",1.32644587779329,14.7753655471369,26.3804702530101,3.65684150053947e-86,3.65398140104184e-84,185.922071099846
"PRSS27",-4.27368587709497,13.3815786173184,-26.3791632558429,3.70017059821158e-86,3.6767361844229e-84,185.910316325232
"GRIN2A",-1.95736342695531,7.26158128973464,-26.3490938854257,4.85217255770159e-86,4.79480432967131e-84,185.639828854417
"MYH11",-2.7505809301676,15.1699059706704,-26.3437202597908,5.09304175553922e-86,5.00517279338321e-84,185.591480235139
"ENTREP1",-1.97180579692738,9.85818240321229,-26.3420108236195,5.17214869807414e-86,5.05513943244558e-84,185.576099103176
"ARHGAP10",-1.74968502458101,10.0065647318436,-26.3406308294756,5.23690684203018e-86,5.06887208363336e-84,185.563681984708
"COL5A1",1.59848866759777,10.8791935198324,26.332417267762,5.63948921187603e-86,5.3890866709258e-84,185.489772448621
"H2BC15",1.15472741489758,13.0652312255121,26.3323290306342,5.6439782410322e-86,5.3890866709258e-84,185.488978408834
"YY1AP1",-1.51272718575419,11.6679105621508,-26.3319270014088,5.66447665287963e-86,5.3890866709258e-84,185.485360564953
"CYSRT1",-3.67594463966481,14.0844724972067,-26.2825919316731,8.83950691642484e-86,8.36526035487697e-84,185.041262099926
"NDRG2",-1.95331540083799,13.7354600342179,-26.2650832893408,1.03524983693601e-85,9.74551504391446e-84,184.883590961681
"SCNN1B",-2.17048409972067,8.99597518840782,-26.2378567098146,1.32365891748423e-85,1.23952687948287e-83,184.638340131323
"TMOD3",-1.38169969497207,11.3019349102421,-26.1414269850924,3.16279582840384e-85,2.94634198889745e-83,183.769074478865
"ADH1A",-4.43780268100559,10.0621567321229,-26.1168058314726,3.95121140654066e-85,3.66172887136716e-83,183.546965469128
"SPARC",1.92665644413409,13.9354541801676,26.1016573989904,4.53121789538597e-85,4.17759604519966e-83,183.410277901531
"SLC16A6",-2.63617068324022,10.6989889513966,-26.0996351281061,4.61484148655262e-85,4.23287460658872e-83,183.392028639485
"CPEB3",-2.26528302681564,10.3828358860335,-26.0797660568506,5.5232737935461e-85,5.04026913629416e-83,183.212703807811
"HCG22",-4.28292106908752,11.2588980049348,-26.0099782558058,1.03859993578531e-84,9.42964388398787e-83,182.582508973602
"BRME1",-2.71520085474861,10.7791011251397,-25.8894754499583,3.09408694270469e-84,2.79499187157657e-82,181.493119250802
"MMP12",4.13109619888268,10.3707016631285,25.8539153676096,4.2713186817193e-84,3.83903547443374e-82,181.171346677923
"PCP4",-3.68878688715084,12.5119915284916,-25.8337727938319,5.12750162963805e-84,4.58552470738531e-82,180.989022857536
"TFAP2B",-4.81908134357542,7.44313716787709,-25.8307972627452,5.26778858846824e-84,4.68754560663397e-82,180.962085694112
"CRTAC1",-2.90928130558659,9.36617502709497,-25.8122018150919,6.2358690229974e-84,5.52152244283819e-82,180.793721814264
"CEACAM1",-2.58526354539107,13.0422473208799,-25.8079125788612,6.48334940095862e-84,5.71237376283477e-82,180.754881702142
"EPB41L3",-2.32319498044693,12.7917660321229,-25.8067491569554,6.55215599700511e-84,5.74469912560948e-82,180.744346288063
"SERPINB1",-2.83177040502794,14.816972722067,-25.7631286952537,9.73482463191304e-84,8.49351577397057e-82,180.349235986332
"CGNL1",-2.56090592765363,9.91557593561452,-25.7621184170387,9.8245235548371e-84,8.53016642241827e-82,180.340082589948
"CRACDL",-1.23568743547486,10.759263002933,-25.7375505507127,1.22798499034325e-83,1.06105021919224e-81,180.117457824846
"ATOH8",-1.60740417765363,7.62210216424581,-25.7180625119996,1.46575816826619e-83,1.26041108642351e-81,179.940819247052
"BBS5",1.14957296573557,12.7883356372439,25.7174406842015,1.47406069727309e-83,1.26148562829792e-81,179.935182372849
"LAMB3",2.08544322486034,13.071983997905,25.6667867753821,2.335601838269e-83,1.98926545139425e-81,179.475867588573
"COBL",-2.50476420921788,9.44613167332402,-25.6599498873216,2.48534417991379e-83,2.10677090056578e-81,179.413852037935
"N4BP3",-2.59941515083799,8.80636572234637,-25.6446242250913,2.85686903284131e-83,2.41028110949999e-81,179.274819308675
"KIF23",1.37957716275605,9.78258902960894,25.5898592598762,4.70091771555312e-83,3.92190124294535e-81,178.777796535998
"PPL",-2.50080541061453,15.5042415069832,-25.5897050598495,4.7075164780596e-83,3.92190124294535e-81,178.776396641559
"KAT2B",-2.62828160167597,10.7430220986034,-25.5895455854433,4.71435070576568e-83,3.92190124294535e-81,178.774948861411
"LAPTM4B",1.88007548547486,12.5493776748603,25.4827892508429,1.24578612270359e-82,1.03158011993873e-80,177.805172631528
"ACLY",1.03672239664805,13.4621865642458,25.4561732073945,1.58759605487768e-82,1.30855958698351e-80,177.563207821436
"CALU",1.34203456703911,13.1073467388268,25.4341201218135,1.9409258055986e-82,1.5924494935292e-80,177.362669085557
"HSPB8",-1.45288325055866,10.7036853328212,-25.4223369934123,2.16095784080256e-82,1.76488091052943e-80,177.25549915754
"CEP55",2.23074601480447,11.8644513319832,25.4084920144777,2.45161541484205e-82,1.99316333226658e-80,177.129557987405
"DEGS2",-2.69859132681565,12.6638104734637,-25.3825721173874,3.10513563547764e-82,2.50173225117807e-80,176.893723968447
"H2AC21",1.21166524581006,15.2129877569832,25.3729065242594,3.39124028920558e-82,2.71998761492067e-80,176.805763194883
"H2BC5",1.24306862849162,15.0818934706704,25.3516261120811,4.11764201484968e-82,3.28786361953578e-80,176.612069089652
"CYP11A1",-2.53539915377095,9.29760260370112,-25.3124270671428,5.88796988205677e-82,4.68054352490966e-80,176.255158230365
"CFD",-2.26938903910614,14.6347932877095,-25.3011265961463,6.52760245298466e-82,5.16604856080016e-80,176.152237217082
"H2BC13",1.80458189385475,15.3626280921788,25.300507853478,6.56456836813312e-82,5.17241717323475e-80,176.146601533308
"ECT2",1.99817093687151,10.4448711377095,25.2633630663263,9.2143798880341e-82,7.22843853848149e-80,175.808204687091
"GDPD3",-3.74086177877095,11.5872011620112,-25.2533596662274,1.00956633924578e-81,7.88519805403929e-80,175.717047562775
