Variables	Accuracy	Kappa	AccuracySD	KappaSD
1	0.9384126984126984	0.8767972940059989	0.03690490413581286	0.07383036141389761
2	0.9469047619047619	0.893753348333869	0.02766657003406241	0.05534246825207207
3	0.9747619047619047	0.9494629425916485	0.0207762087407753	0.04163502505547057
4	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
5	0.9832539682539683	0.9664939079832697	0.019474385758741466	0.03895826064347956
6	0.9804761904761905	0.9609383524277141	0.018789402017464624	0.0375863351589013
7	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
8	0.986031746031746	0.9720494635388253	0.014725733690388699	0.029466954240093213
9	0.9943650793650793	0.9887161302054919	0.011880928523690147	0.023791971054003675
10	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
11	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
12	0.9943650793650793	0.9887161302054919	0.011880928523690147	0.023791971054003675
13	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
14	0.986031746031746	0.9720494635388253	0.019705709750744975	0.03942299390494302
15	0.986031746031746	0.9720494635388253	0.019705709750744975	0.03942299390494302
16	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
17	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
18	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
19	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
20	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
21	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
22	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
23	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
24	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
25	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
26	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
27	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
28	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
29	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
30	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
31	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
32	0.986031746031746	0.9720494635388253	0.014725733690388699	0.029466954240093213
33	0.986031746031746	0.9720494635388253	0.014725733690388699	0.029466954240093213
34	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
35	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
36	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
37	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
38	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
39	0.9888095238095238	0.9776050190943808	0.014448659190891944	0.028916096946640126
40	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
41	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
42	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
43	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
44	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
45	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
46	0.9915873015873016	0.9831605746499363	0.013547453476679964	0.027118127284956293
47	0.9943650793650793	0.9887161302054919	0.011880928523690147	0.023791971054003675
48	0.9943650793650793	0.9887161302054919	0.011880928523690147	0.023791971054003675
49	0.9943650793650793	0.9887161302054919	0.011880928523690147	0.023791971054003675
50	0.9943650793650793	0.9887161302054919	0.011880928523690147	0.023791971054003675
149	0.9943650793650793	0.9887161302054919	0.011880928523690147	0.023791971054003675
