Index	Query genes	# Input	# Found	TF	# Datasets
84	HSP90AA1, EIF2AK2	5	2	SUPT5H	4
85	HSP90AA1, EIF2AK2	5	2	ZNF574	1
86	INHBA, HSP90AA1	5	2	RELB	1
87	INHBA, HSP90AA1	5	2	RELA	78
88	HSP90AA1, EIF2AK2	5	2	ARID1B	1
89	HSP90AA1, HSPB8	5	2	SP1	13
90	HSP90AA1, EIF2AK2	5	2	KLF4	7
91	HSP90AA1, EIF2AK2	5	2	NEUROD1	4
92	HSP90AA1, LRRK2	5	2	PATZ1	1
93	EIF2AK2, LRRK2	5	2	GATA2	15
94	HSP90AA1, LRRK2	5	2	MAX	28
95	HSP90AA1, EIF2AK2	5	2	ARID1A	1
96	HSP90AA1, HSPB8	5	2	APC	1
97	HSP90AA1, LRRK2	5	2	ZBTB26	1
98	HSP90AA1, HSPB8	5	2	ZSCAN5DP	1
99	HSP90AA1, EIF2AK2	5	2	FOXP1	10
100	HSP90AA1, HSPB8	5	2	INO80	2
101	HSP90AA1, HSPB8	5	2	MED1	50
102	HSP90AA1, EIF2AK2	5	2	SMARCB1	4
103	HSP90AA1, EIF2AK2	5	2	MYCN	18
104	HSP90AA1, HSPB8	5	2	GTF2B	5
105	HSP90AA1, EIF2AK2	5	2	NR1H2	2
106	HSP90AA1, EIF2AK2	5	2	NR1H3	4
107	INHBA, HSP90AA1	5	2	SMC1A	7
108	INHBA, HSP90AA1	5	2	TCF3	7
109	HSP90AA1, EIF2AK2	5	2	ARID2	1
110	INHBA, HSP90AA1	5	2	STAG1	24
111	HSP90AA1, EIF2AK2	5	2	LMNB1	5
112	HSP90AA1, EIF2AK2	5	2	RNF2	5
113	HSP90AA1, EIF2AK2	5	2	PHF8	8
114	HSP90AA1, EIF2AK2	5	2	MAF	5
115	HSP90AA1, EIF2AK2	5	2	CREBBP	13
116	HSP90AA1, EIF2AK2	5	2	ETV6	1
117	HSP90AA1, EIF2AK2	5	2	REL	1
118	HSP90AA1, EIF2AK2	5	2	TFDP1	3
119	HSP90AA1, LRRK2	5	2	ZBTB14	1
120	INHBA, HSP90AA1	5	2	SMC3	9
121	EIF2AK2, HSPB8	5	2	ESR1	253
122	INHBA, HSP90AA1	5	2	NR2F2	5
123	HSP90AA1, EIF2AK2	5	2	USF1	12
124	HSP90AA1, HSPB8	5	2	FOSL1	6
125	INHBA, HSP90AA1	5	2	NFKB2	2
126	HSP90AA1, LRRK2	5	2	TAL1	29
127	HSP90AA1, HSPB8	5	2	YAP1	2
128	HSP90AA1, EIF2AK2	5	2	RUNX3	1
129	HSP90AA1, EIF2AK2	5	2	NRF1	12
130	INHBA, HSP90AA1	5	2	ERG	35
131	HSP90AA1, EIF2AK2	5	2	MYB	14
132	INHBA, HSP90AA1	5	2	SMARCA4	11
133	HSP90AA1, LRRK2	5	2	SOX4	2
134	HSP90AA1, EIF2AK2	5	2	TFAP2C	11
